Individuo Cultura Forma_Cabeza Orejas Ojos Nariz Boca Material
TU01 Tumaco Alargada Con_expansion Abiertos Realista Piquito Ceramica
TU02 Tumaco Triangular_con_menton Tres_huecos_con_expansion Taladrados Avioneta Con_dientes Ceramica
TU03 Tumaco Alargada_deforme Tres_huecos_con_expansion Abiertos Avioneta Con_dientes Ceramica
TU04 Tumaco Alargada_deforme Con_expansion Abiertos Realista Botox Ceramica
TU05 Tumaco Alargada_deforme Tres_huecos Abiertos Realista Piquito Ceramica
TU06 Tumaco Alargada_deforme Con_expansion Abiertos Realista Con_dientes Ceramica
TU07 Tumaco Alargada_deforme Con_expansion Abiertos Realista Botox Ceramica
TU08 Tumaco Alargada_deforme Tres_huecos Abiertos Realista Piquito Ceramica
TU09 Tumaco Alargada_deforme Banano Abiertos Realista Piquito Ceramica
TU10 Tumaco Alargada_deforme Tres_huecos_con_expansion Abiertos Realista Piquito Ceramica
TU11 Tumaco Alargada_deforme Tres_huecos_con_expansion Abiertos Realista Piquito Ceramica
TU12 Tumaco Alargada_deforme Tres_huecos Abiertos Realista Botox Ceramica
TU13 Tumaco Alargada_deforme Tres_huecos Abiertos Realista Piquito Ceramica
TU14 Tumaco Alargada_deforme Banano Abiertos Realista Piquito Ceramica
TU15 Tumaco Alargada Con_expansion Abiertos Realista Piquito Ceramica
TU16 Tumaco Alargada_deforme Banano Abiertos Realista Piquito Ceramica
TU17 Tumaco Alargada_deforme Con_expansion Abiertos Realista Botox Ceramica
TU18 Tumaco Alargada Tres_huecos Abiertos Avioneta Piquito Ceramica
TU19 Tumaco Alargada_deforme Banano Abiertos Avioneta Piquito Ceramica
TU20 Tumaco Alargada_deforme Banano Abiertos Realista Piquito Ceramica
TU21 Tumaco Alargada_deforme Con_expansion Abiertos Avioneta Piquito Ceramica
TU22 Tumaco Alargada_deforme Banano Abiertos Realista Piquito Ceramica
TU23 Tumaco Alargada_deforme Tres_huecos_con_expansion Abiertos Realista Yeison Ceramica
TU24 Tumaco Alargada_con_lineas Banano Abiertos Aplastada Puchero Ceramica
TU25 Tumaco Alargada Sordo Abiertos Avioneta Piquito Ceramica
TU26 Tumaco Alargada_deforme Banano Abiertos Aplastada Yeison Ceramica
TU27 Tumaco Alargada_deforme Con_expansion Abiertos Payaso Piquito Ceramica
TU28 Tumaco Alargada_con_lineas Banano Abiertos Realista Con_dientes Ceramica
TU29 Tumaco Alargada_con_lineas Con_expansion Abiertos Avioneta Piquito Ceramica
TU30 Tumaco Alargada_con_lineas Banano Rajao Aplastada Con_dientes Ceramica
TU31 Tumaco Alargada_deforme Banano Abiertos Realista Raja Ceramica
TU32 Tumaco Alargada_deforme Con_expansion Abiertos Realista Europea Ceramica
QU01 Quimbaya_temprano Alargada Sordo Rajao Butifarra Raja Ceramica
QU02 Quimbaya_temprano Triangular_con_menton Sordo Habichuela Poporo Botox Orfebreria
QU03 Quimbaya_temprano "-1802" Sordo Habichuela Cisne Raja Orfebreria
QU04 Quimbaya_temprano Triangular_con_menton Sordo Habichuela Poporo Botox Orfebreria
QU05 Quimbaya_temprano Montaña_invertida_con_menton Sordo Habichuela Realista Raja Orfebreria
QU06 Quimbaya_temprano Montaña_invertida Sordo Habichuela Realista Yeison Orfebreria
QU07 Quimbaya_temprano Triangular Sordo Habichuela Payaso Botox Orfebreria
QU08 Quimbaya_temprano Triangular_con_menton Sordo Habichuela Aplastada Botox Orfebreria
QU09 Quimbaya_temprano Alargada_con_lineas Sordo Habichuela Aplastada Botox Orfebreria
QU10 Quimbaya_temprano Triangular_con_menton Sordo Habichuela Poporo Botox Orfebreria
