Codigo Arenisca Grano_medio Grano_fino Grano_muy_fino Lodolita Lodolita_negra Limolita Tallada Pulida Bloque Canto Largo Ancho Espesor Uso Descarte Manufactura Reciclado Abastecimiento
CO_147_2_29_B_G8_1 0 0 0 0 1 0 0 1 0 0 0 7.27 8.46 3.23 1 0 0 0 0
CO_147_2_29_B_G31 0 0 0 0 1 0 0 1 0 0 0 6.73 5 2.14 1 0 0 0 0
CO_147_2_29_B_G7_1 0 0 0 0 1 0 0 1 0 0 0 5.02 3.47 1.41 1 0 0 0 0
CO_147_2_29_B_E37_1 0 0 0 0 1 0 0 1 0 0 0 6.78 1.87 0.86 1 0 0 0 0
CO_147_2_29_B_B23 0 0 0 0 1 0 0 1 0 1 0 5.86 3.95 1.18 1 0 0 0 0
CO_147_2_29_B_D21_1 0 0 0 0 1 0 0 1 0 0 0 4.44 6.43 1.72 1 0 0 0 0
CO_147_2_29_B_D21_2 0 0 0 0 1 0 0 1 0 0 0 2.68 2.85 0.66 1 0 0 0 0
CO_147_2_29_B_D37 0 0 0 0 1 0 0 1 0 0 0 6.66 6.19 2.41 1 0 0 0 0
CO_147_2_29_B_D39_1 0 0 0 0 1 0 0 1 0 0 0 2.53 2.67 0.66 1 0 0 0 0
CO_147_2_29_B_H6 0 0 0 0 1 0 0 1 0 1 0 5.47 2.75 1 0 1 0 0 0
CO_147_2_29_B_F29 0 0 0 0 1 0 0 1 0 0 0 9.01 7.06 2.24 0 0 1 0 0
CO_147_2_29_B_F30 0 0 0 0 1 0 0 1 0 0 0 5.31 3.95 1.93 1 0 0 0 0
CO_147_2_29_B_F28 0 0 0 0 1 0 0 1 0 1 0 2.92 3.83 0.87 1 0 0 0 0
CO_147_2_29_B_F37 0 0 0 0 1 0 0 1 0 0 0 5.04 7.03 1.22 1 0 0 0 0
CO_147_2_29_B_F34 0 0 0 0 1 0 0 1 0 0 0 7.42 5.47 1.64 1 0 0 0 0
CO_147_2_29_B_F32 0 0 0 0 1 0 0 1 0 0 0 7.08 4.19 1.51 1 0 0 0 0
