ID X y Forma Profundidad Ancho Largo Planta Volumen Escalon Lajas Edad Sexo Posición MIEM Deformacion Orientacion Pigmento Mocasin Canasto Ollas Cuencos Jarras Cantaro Total_ceramicas GDT Pisba Agujas Cuenta_hueso Cuentas_dientes Fauna Lanzadera Punzon Volantes Piedras_verdes Cuentas_piedra Cuentas_zoomorfas Cantos Conchas_rect Cuentas_discoides_concha Cuentas_rectangulares_concha Cuentas_alargadas_concha Cuentas_tubulares_concha Cuentas_conicas_concha Cuentas_punta_caracol Cuentas_coma_concha Total_cuentas_concha OV Cuentas_oro Lamina_oro Tejuelos_oro Total_objetos Numero_categorias Importados Ubicación_ajuar
Tumba_1 89.20 19.10 Rectangular 0.80 0.40 1.45 0.58 0.46 0 0 4 Masculino Extendido_dorsal bepe 0 180 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 Cabeza_y_tronco
Tumba_4 79.10 9.70 Rectangular 0.75 0.45 1.60 0.72 0.54 0 0 7 Femenino Extendido_dorsal bepe 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_5 78.30 8.50 Rectangular 0.70 0.40 1.35 0.54 0.38 0 0 7 Femenino Extendido_dorsal bepe 0 85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_6 89.90 24.50 Rectangular 0.93 1.40 2.30 3.22 2.99 1 0 7 Femenino Extendido_dorsal bepe 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_7 90.70 24.65 Circular 0.75 1.28 1.43 1.83 1.37 0 1 5 Femenino Fetal bxpx 0 120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 2 2 1 Tronco
Tumba_8 40.50 25.50 Rectangular 1.35 1.06 2.10 2.23 3.01 1 1 6 Femenino Extendido_dorsal bepe 0 150 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 NA
Tumba_9 19.34 25.74 Rectangular 0.90 0.40 1.75 0.70 0.63 1 0 7 Femenino Extendido_dorsal bepe 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
Tumba_9A 21.00 16.00 Rectangular 0.80 0.40 1.95 0.78 0.62 0 0 7 Femenino Extendido_dorsal bepe 0 153 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 588 0 0 0 0 0 0 588 0 0 0 0 3 4 1 Cabeza_y_tronco
Tumba_11 58.30 23.50 Rectangular 1.21 0.50 2.00 1.00 1.21 0 0 6 Femenino Extendido_dorsal NA 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 NA
Tumba_12 53.00 23.95 Rectangular 0.98 1.22 2.80 3.42 3.35 1 0 7 Masculino Extendido_dorsal bepe 1 165 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 Cabeza
Tumba_13 60.70 23.60 Rectangular 0.84 0.60 2.06 1.24 1.04 0 0 NA Femenino Extendido_dorsal bxpe 0 160 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
